Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
Montreal 1976,1976,men,long-jump,Arnie ROBINSON,USA,,,8.35
,1976,men,marathon,Waldemar CIERPINSKI,GDR,42195,7795,
,1976,men,pole-vault,Tadeusz SLUSARSKI,POL,,,5.5
,1976,men,triple-jump,Viktor SANEYEV,URS,,,17.29
,1972,men,10000m,Lasse VIREN,FIN,10000,1658.35,
Munich 1972,1972,men,100m,Valery BORZOV,URS,100,10.14,
Munich 1972,1972,men,1500m,Pekka VASALA,FIN,1500,216.33,
Munich 1972,1972,men,200m,Valery BORZOV,URS,200,20,
,1972,men,20km-walk,Peter FRENKEL,GDR,20000,5202.4,
Munich 1972,1972,men,400m,Vince MATTHEWS,USA,400,44.66,
Munich 1972,1972,men,4x100m-relay,,USA,400,38.19,
Munich 1972,1972,men,4x400m-relay,,KEN,1600,179.8,
,1972,men,5000m,Lasse VIREN,FIN,5000,806.42,
Munich 1972,1972,men,800m,David James WOTTLE,USA,800,105.86,
Munich 1972,1972,men,high-jump,Jüri TARMAK,URS,,,2.23
Munich 1972,1972,men,long-jump,Randel Luvelle WILLIAMS,USA,,,8.24
,1972,men,marathon,Frank Charles SHORTER,USA,42195,7939.8,
,1972,men,pole-vault,Wolfgang NORDWIG,GDR,,,5.5
,1972,men,triple-jump,Viktor SANEYEV,URS,,,17.35
,1968,men,10000m,Naftali TEMU,KEN,10000,1767.4,
Mexico 1968,1968,men,100m,Jim HINES,USA,100,9.9,
,1968,men,1500m,Kip KEINO,KEN,1500,214.9,
Mexico 1968,1968,men,200m,Tommie SMITH,USA,200,19.8,
,1968,men,20km-walk,Vladimir GOLUBNICHY,URS,20000,5638.4,
Mexico 1968,1968,men,400m,Lee EVANS,USA,400,43.8,
Mexico 1968,1968,men,4x100m-relay,,USA,400,38.2,
,1968,men,4x400m-relay,,USA,1600,176.1,
,1968,men,5000m,Mohamed GAMMOUDI,TUN,5000,845,
Mexico 1968,1968,men,800m,Ralph DOUBELL,AUS,800,104.3,
Mexico 1968,1968,men,high-jump,Dick FOSBURY,USA,,,2.24
Mexico 1968,1968,men,long-jump,Bob BEAMON,USA,,,8.9
,1968,men,marathon,Mamo WOLDE,ETH,42195,8426.4,
,1968,men,pole-vault,Bob SEAGREN,USA,,,5.4
,1968,men,triple-jump,Viktor SANEYEV,URS,,,17.39
,1964,men,10000m,Billy MILLS,USA,10000,1704.4,
Tokyo 1964,1964,men,100m,Bob HAYES,USA,100,10,
,1964,men,1500m,Peter SNELL,NZL,1500,218.1,
Tokyo 1964,1964,men,200m,Henry CARR,USA,200,20.3,
,1964,men,20km-walk,Kenneth Joseph MATTHEWS,GBR,20000,5374,
Tokyo 1964,1964,men,400m,Mike LARRABEE,USA,400,45.1,
Tokyo 1964,1964,men,4x100m-relay,,USA,400,39,
,1964,men,4x400m-relay,,USA,1600,180.7,
,1964,men,5000m,Robert Keyser SCHUL,USA,5000,828.8,
Tokyo 1964,1964,men,800m,Peter SNELL,NZL,800,105.1,
Tokyo 1964,1964,men,high-jump,Valeri BRUMEL,URS,,,2.18
Tokyo 1964,1964,men,long-jump,Lynn DAVIES,GBR,,,8.07
,1964,men,marathon,Abebe BIKILA,ETH,42195,7931.2,
,1964,men,pole-vault,Fred HANSEN,USA,,,5.1
,1964,men,triple-jump,Jozef SCHMIDT,POL,,,16.85
,1960,men,10000m,Pyotr BOLOTNIKOV,URS,10000,1712.2,
Rome 1960,1960,men,100m,Armin HARY,EUA,100,10.2,
,1960,men,1500m,Herb ELLIOTT,AUS,1500,215.6,
Rome 1960,1960,men,200m,Livio BERRUTI,ITA,200,20.5,
,1960,men,20km-walk,Vladimir GOLUBNICHY,URS,20000,5647.2,
,1960,men,400m,Otis DAVIS,USA,400,44.9,
Rome 1960,1960,men,4x100m-relay,,EUA,400,39.5,
,1960,men,4x400m-relay,,USA,1600,182.2,
,1960,men,5000m,Murray HALBERG,NZL,5000,823.4,
Rome 1960,1960,men,800m,Peter SNELL,NZL,800,106.3,
Rome 1960,1960,men,high-jump,Robert SHAVLAKADZE,URS,,,2.16
Rome 1960,1960,men,long-jump,Ralph BOSTON,USA,,,8.12
,1960,men,marathon,Abebe BIKILA,ETH,42195,8116.2,
,1960,men,pole-vault,Don BRAGG,USA,,,4.7
,1960,men,triple-jump,Jozef SCHMIDT,POL,,,16.81
,1956,men,10000m,Vladimir KUTS,URS,10000,1725.6,
Melbourne / Stockholm 1956,1956,men,100m,Bobby MORROW,USA,100,10.5,
,1956,men,1500m,Ron DELANY,IRL,1500,221.2,
Melbourne / Stockholm 1956,1956,men,200m,Bobby MORROW,USA,200,20.6,
,1956,men,20km-walk,Leonid SPIRIN,URS,20000,5487.4,
,1956,men,400m,Charles JENKINS,USA,400,46.7,
Melbourne / Stockholm 1956,1956,men,4x100m-relay,,USA,400,39.5,
,1956,men,4x400m-relay,,USA,1600,184.8,
,1956,men,5000m,Vladimir KUTS,URS,5000,819.6,
